Model,Model_Path,Variant,Dataset,Image_Type,Resolution,Loss,Optimizer,DeNoising,Attention,auc_roc_score_agg_absolute,auc_roc_score_agg_psnr,auc_roc_score_agg_squared,auc_roc_score_agg_ssim,auc_roc_score_mean_absolute,auc_roc_score_mean_psnr,auc_roc_score_mean_squared,auc_roc_score_mean_ssim,auc_roc_score_overall_absolute,auc_roc_score_overall_psnr,auc_roc_score_overall_squared,auc_roc_score_overall_ssim,eer_agg_absolute,eer_agg_psnr,eer_agg_squared,eer_agg_ssim,eer_overall_absolute,eer_overall_psnr,eer_overall_squared,eer_overall_ssim,pr_roc_score_agg_absolute,pr_roc_score_agg_psnr,pr_roc_score_agg_squared,pr_roc_score_agg_ssim,pr_roc_score_mean_absolute,pr_roc_score_mean_psnr,pr_roc_score_mean_squared,pr_roc_score_mean_ssim,pr_roc_score_overall_absolute,pr_roc_score_overall_psnr,pr_roc_score_overall_squared,pr_roc_score_overall_ssim,precision_absolute,precision_squared,precision_ssim,precision_psnr,recall_absolute,recall_squared,recall_ssim,recall_psnr,f1-score_absolute,f1-score_squared,f1-score_ssim,f1-score_psnr,support_absolute,support_squared,support_ssim,support_psnr,conf_mat_absolute,conf_mat_squared,conf_mat_ssim,conf_mat_psnr
C2D_AE_128_3X3,/localscratch/a24ravi.60337148.0/C2D_23_01_2021_15_02/C2D_AE_128_3X3|_ADAM_MSE_AVENUE_OPTICAL_FLOW/C2D_AE_128_3X3|_ADAM_MSE_AVENUE_OPTICAL_FLOW.pkl,Normal,AVENUE,OPTICAL_FLOW,128,MSE,ADAM,False,False,0.5154,0.5899,0.5436,0.4439,0.5711,0.7031,0.7025,0.4725,0.5098,0.6191,0.6203,0.4215,0.5127,0.4777,0.4956,0.5561,0.5024,0.4179,0.419,0.5688,0.5796,0.4983,0.5507,0.5891,0.6246,0.5872,0.5874,0.6615,0.5529,0.4953,0.4952,0.6022,0.5885,0.6486,0.5696,0.6375,0.4891,0.5789,0.5655,0.5809,0.4126,0.5577,0.4419,0.5653,15324,15324,15324,15324,"1351,7222,607,6144","3137,5436,1017,5734","8311,262,6396,355","3374,5199,1224,5527"
C2D_AE_128_3X3,/localscratch/a24ravi.60337148.0/C2D_23_01_2021_15_02/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_MSE_AVENUE_OPTICAL_FLOW/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_MSE_AVENUE_OPTICAL_FLOW.pkl,Normal,AVENUE,OPTICAL_FLOW,128,MSE,ADAM,False,True,0.513,0.5827,0.5502,0.4586,0.5242,0.6637,0.6652,0.4533,0.4909,0.5935,0.594,0.4137,0.4765,0.4714,0.477,0.5363,0.5133,0.4388,0.4386,0.5693,0.5797,0.5006,0.5445,0.5924,0.6437,0.597,0.5964,0.6742,0.5706,0.507,0.5063,0.6112,0.6004,0.6213,0.5527,0.6185,0.4772,0.5509,0.5626,0.5503,0.3763,0.5233,0.4389,0.5236,15324,15324,15324,15324,"933,7640,372,6379","2756,5817,1065,5686","8282,291,6411,340","2782,5791,1100,5651"
C2D_AE_128_3X3_ACB,/localscratch/a24ravi.60318154.0/C2D_23_01_2021_07_49/C2D_AE_128_3X3_ACB|_ADAM_MSE_AVENUE_NORMAL/C2D_AE_128_3X3_ACB|_ADAM_MSE_AVENUE_NORMAL.pkl,ACB,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.7603,0.7727,0.8514,0.6951,0.8415,0.8418,0.8421,0.8485,0.9575,0.9645,0.9647,0.9458,0.3026,0.2808,0.2231,0.3602,0.0922,0.0895,0.0893,0.1073,0.4103,0.4035,0.3803,0.4415,0.5682,0.5686,0.5686,0.5674,0.3587,0.3575,0.3575,0.361,0.9098,0.9113,0.8946,0.9111,0.9087,0.9093,0.8938,0.9091,0.9089,0.9095,0.8939,0.9093,15324,15324,15324,15324,"7721,852,547,6204","7653,920,470,6281","7629,944,684,6067","7655,918,475,6276"
C2D_AE_128_3X3_ACB,/localscratch/a24ravi.60318154.0/C2D_23_01_2021_07_49/C2D_AE_128_3X3_ACB|_CONV_ATTENTION_ADAM_MSE_AVENUE_NORMAL/C2D_AE_128_3X3_ACB|_CONV_ATTENTION_ADAM_MSE_AVENUE_NORMAL.pkl,ACB,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.7133,0.7344,0.8199,0.6628,0.8394,0.84,0.8405,0.8427,0.9489,0.9606,0.9608,0.9275,0.3424,0.3284,0.2354,0.3898,0.0926,0.0957,0.0952,0.1438,0.4356,0.4184,0.389,0.4681,0.5684,0.5688,0.5688,0.5677,0.3605,0.3583,0.3583,0.3646,0.9086,0.9063,0.8854,0.9055,0.9084,0.9043,0.8826,0.9032,0.9085,0.9045,0.8815,0.9034,15324,15324,15324,15324,"7828,745,658,6093","7615,958,509,6242","8072,501,1298,5453","7590,983,501,6250"
C2D_AE_128_3X3_DP,/localscratch/a24ravi.60277553.0/C2D_22_01_2021_16_02/C2D_AE_128_3X3_DP|_ADAM_MSE_AVENUE_NORMAL/C2D_AE_128_3X3_DP|_ADAM_MSE_AVENUE_NORMAL.pkl,Dropouts,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.7133,0.845,0.8833,0.6148,0.8362,0.832,0.8321,0.8375,0.9462,0.9624,0.9625,0.8695,0.3373,0.2197,0.1779,0.4276,0.1015,0.0956,0.0952,0.2155,0.4356,0.3826,0.3737,0.508,0.5684,0.5694,0.5694,0.5684,0.3607,0.358,0.358,0.3754,0.9005,0.9064,0.7899,0.9064,0.9004,0.9048,0.7858,0.9049,0.9004,0.905,0.7865,0.9051,15324,15324,15324,15324,"7776,797,730,6021","7648,925,534,6217","6617,1956,1326,5425","7656,917,541,6210"
C2D_AE_128_3X3_DP,/localscratch/a24ravi.60291996.0/C2D_22_01_2021_21_24/C2D_AE_128_3X3_DP|_CONV_ATTENTION_ADAM_MSE_AVENUE_NORMAL/C2D_AE_128_3X3_DP|_CONV_ATTENTION_ADAM_MSE_AVENUE_NORMAL.pkl,Dropouts,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.6936,0.8243,0.8604,0.6152,0.8351,0.8355,0.8356,0.8407,0.9273,0.9599,0.96,0.8654,0.3548,0.2508,0.2299,0.4293,0.1329,0.0981,0.0975,0.2151,0.4515,0.387,0.3783,0.5106,0.5686,0.5692,0.5692,0.568,0.3643,0.3583,0.3584,0.3764,0.8901,0.9059,0.7898,0.9063,0.8869,0.9044,0.7865,0.9046,0.8858,0.9046,0.7871,0.9048,15324,15324,15324,15324,"8119,454,1279,5472","7653,920,545,6206","6661,1912,1360,5391","7640,933,529,6222"
C2D_AE_128_3X3_RES,/localscratch/a24ravi.60318154.0/C2D_23_01_2021_07_49/C2D_AE_128_3X3_RES|_ADAM_MSE_AVENUE_NORMAL/C2D_AE_128_3X3_RES|_ADAM_MSE_AVENUE_NORMAL.pkl,RESNet,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.7044,0.7367,0.8183,0.652,0.8376,0.8387,0.8389,0.841,0.9228,0.9593,0.9595,0.8771,0.3415,0.313,0.2421,0.3961,0.1548,0.0963,0.0963,0.2037,0.4416,0.4186,0.3893,0.479,0.5686,0.5692,0.5692,0.5683,0.365,0.3585,0.3585,0.3738,0.8722,0.906,0.8035,0.9058,0.8676,0.9038,0.8034,0.9038,0.8659,0.9041,0.8035,0.9041,15324,15324,15324,15324,"8062,511,1518,5233","7605,968,506,6245","7062,1511,1501,5250","7614,959,515,6236"
C2D_AE_128_3X3_RES,/localscratch/a24ravi.60318154.0/C2D_23_01_2021_07_49/C2D_AE_128_3X3_RES|_CONV_ATTENTION_ADAM_MSE_AVENUE_NORMAL/C2D_AE_128_3X3_RES|_CONV_ATTENTION_ADAM_MSE_AVENUE_NORMAL.pkl,RESNet,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.6861,0.7575,0.8262,0.6362,0.8375,0.8354,0.8358,0.8421,0.9337,0.9626,0.9628,0.8857,0.3574,0.2923,0.2459,0.4086,0.1404,0.0918,0.0915,0.2065,0.457,0.409,0.3868,0.4879,0.5685,0.5691,0.5691,0.568,0.3633,0.3578,0.3578,0.3722,0.8987,0.9124,0.8113,0.9118,0.897,0.911,0.8117,0.9103,0.8963,0.9112,0.811,0.9105,15324,15324,15324,15324,"8097,476,1102,5649","7710,863,501,6250","7304,1269,1617,5134","7697,876,499,6252"
C2D_AE_128_3X3_SQZEX,/localscratch/a24ravi.60277553.0/C2D_22_01_2021_16_02/C2D_AE_128_3X3_SQZEX|_ADAM_MSE_AVENUE_NORMAL/C2D_AE_128_3X3_SQZEX|_ADAM_MSE_AVENUE_NORMAL.pkl,SqueezeExcitation,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.7073,0.7451,0.8263,0.6719,0.8438,0.8388,0.8391,0.8505,0.9518,0.968,0.9683,0.9338,0.35,0.3065,0.248,0.3944,0.0914,0.0878,0.0884,0.1304,0.4481,0.4182,0.3869,0.4642,0.5682,0.5692,0.5692,0.5676,0.36,0.3571,0.3571,0.3624,0.9102,0.9141,0.8711,0.9148,0.9101,0.9141,0.8697,0.9148,0.9101,0.9141,0.87,0.9148,15324,15324,15324,15324,"7853,720,658,6093","7908,665,651,6100","7408,1165,832,5919","7944,629,676,6075"
C2D_AE_128_3X3_SQZEX,/localscratch/a24ravi.60291996.0/C2D_22_01_2021_21_24/C2D_AE_128_3X3_SQZEX|_CONV_ATTENTION_ADAM_MSE_AVENUE_NORMAL/C2D_AE_128_3X3_SQZEX|_CONV_ATTENTION_ADAM_MSE_AVENUE_NORMAL.pkl,SqueezeExcitation,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.6811,0.7449,0.7964,0.6686,0.8431,0.8374,0.8377,0.8496,0.9515,0.9684,0.9687,0.9398,0.3652,0.292,0.2454,0.386,0.0908,0.0884,0.0885,0.1136,0.4657,0.4235,0.3992,0.4708,0.5682,0.5693,0.5693,0.5675,0.3602,0.357,0.357,0.362,0.9131,0.9145,0.8892,0.9145,0.9118,0.9146,0.8891,0.9145,0.912,0.9145,0.8892,0.9145,15324,15324,15324,15324,"7725,848,504,6247","7950,623,686,6065","7695,878,821,5930","7939,634,676,6075"
