Model,Model_Path,Variant,Dataset,Image_Type,Resolution,Loss,Optimizer,DeNoising,Attention,auc_roc_score_agg_absolute,auc_roc_score_agg_psnr,auc_roc_score_agg_squared,auc_roc_score_agg_ssim,auc_roc_score_mean_absolute,auc_roc_score_mean_psnr,auc_roc_score_mean_squared,auc_roc_score_mean_ssim,auc_roc_score_overall_absolute,auc_roc_score_overall_psnr,auc_roc_score_overall_squared,auc_roc_score_overall_ssim,eer_agg_absolute,eer_agg_psnr,eer_agg_squared,eer_agg_ssim,eer_overall_absolute,eer_overall_psnr,eer_overall_squared,eer_overall_ssim,pr_roc_score_agg_absolute,pr_roc_score_agg_psnr,pr_roc_score_agg_squared,pr_roc_score_agg_ssim,pr_roc_score_mean_absolute,pr_roc_score_mean_psnr,pr_roc_score_mean_squared,pr_roc_score_mean_ssim,pr_roc_score_overall_absolute,pr_roc_score_overall_psnr,pr_roc_score_overall_squared,pr_roc_score_overall_ssim,precision_absolute,precision_squared,precision_ssim,precision_psnr,recall_absolute,recall_squared,recall_ssim,recall_psnr,f1-score_absolute,f1-score_squared,f1-score_ssim,f1-score_psnr,support_absolute,support_squared,support_ssim,support_psnr,conf_mat_absolute,conf_mat_squared,conf_mat_ssim,conf_mat_psnr
C2D_AE_128_3X3,ENUE_NORMAL-{R1}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.6718,0.5424,0.7675,0.6096,0.841,0.839,0.839,0.8463,0.945,0.9646,0.9646,0.9271,0.3687,0.4608,0.2789,0.4269,0.1013,0.0867,0.0867,0.1337,0.4652,0.5483,0.4089,0.4976,0.5684,0.569,0.569,0.5677,0.3613,0.3577,0.3577,0.3638,0.9037,0.9143,0.8755,0.9143,0.9038,0.9141,0.8757,0.9141,0.9037,0.9141,0.8755,0.9141,15324,15324,15324,15324,"7907,666,808,5943","7862,711,606,6145","7718,855,1050,5701","7862,711,606,6145"
C2D_AE_128_3X3,ENUE_NORMAL-{R1}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.6622,0.5465,0.7845,0.6048,0.8459,0.8412,0.8412,0.8512,0.9471,0.9658,0.9658,0.9316,0.3798,0.4842,0.2808,0.4324,0.0881,0.0856,0.0856,0.1268,0.4682,0.5303,0.4002,0.5059,0.568,0.5688,0.5688,0.5675,0.3612,0.3575,0.3575,0.3634,0.9184,0.9176,0.8838,0.9176,0.9185,0.9176,0.8838,0.9176,0.9185,0.9176,0.8835,0.9176,15324,15324,15324,15324,"7972,601,648,6103","7964,609,653,6098","7817,756,1025,5726","7964,609,653,6098"
C2D_AE_128_3X3,AL-{SoftMax_Run}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.7062,0.7967,0.8557,0.658,0.8406,0.8339,0.8338,0.8466,0.9508,0.9672,0.9676,0.9313,0.3508,0.2616,0.226,0.4028,0.0934,0.0881,0.0899,0.1309,0.4548,0.3954,0.38,0.4805,0.5684,0.5695,0.5696,0.5679,0.3599,0.3571,0.3571,0.3628,0.9085,0.9146,0.8718,0.9158,0.9074,0.9146,0.8718,0.9158,0.9076,0.9146,0.8718,0.9158,15324,15324,15324,15324,"7714,859,560,6191","7925,648,660,6091","7578,995,970,5781","7914,659,632,6119"
C2D_AE_128_3X3,AL-{SoftMax_Run}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.6999,0.8069,0.8579,0.6809,0.8448,0.8374,0.8376,0.8527,0.9513,0.9684,0.9687,0.9333,0.3548,0.2593,0.2372,0.3906,0.0875,0.0898,0.0912,0.135,0.4473,0.3923,0.3793,0.4646,0.5682,0.5692,0.5692,0.5675,0.3603,0.3569,0.3569,0.3626,0.9175,0.9157,0.8755,0.9159,0.9175,0.9157,0.8698,0.9159,0.9175,0.9156,0.8703,0.9158,15324,15324,15324,15324,"7975,598,666,6085","8015,558,734,6017","7174,1399,596,6155","7999,574,714,6037"
C2D_AE_128_3X3,AL-{SoftMax_Run}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.7783,0.7449,0.8206,0.7071,0.8268,0.845,0.8452,0.8392,0.9494,0.9619,0.9622,0.9348,0.271,0.2882,0.2333,0.358,0.1052,0.0862,0.0862,0.1402,0.4075,0.4199,0.3894,0.432,0.5695,0.5687,0.5687,0.5681,0.3601,0.3585,0.3585,0.3625,0.9007,0.9212,0.8653,0.9213,0.9007,0.921,0.8653,0.9212,0.9007,0.9209,0.8653,0.9211,15324,15324,15324,15324,"7819,754,768,5983","8090,483,727,6024","7550,1023,1041,5710","8073,500,707,6044"
C2D_AE_128_3X3,AL-{SoftMax_Run}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.8665,0.8487,0.8865,0.8453,0.8629,0.9034,0.9036,0.8477,0.8994,0.9446,0.9443,0.8852,0.2168,0.2273,0.2041,0.2298,0.1787,0.1186,0.117,0.1957,0.3766,0.3823,0.3716,0.3827,0.5739,0.5672,0.5672,0.5887,0.3682,0.3599,0.36,0.3719,0.8456,0.8874,0.8216,0.8881,0.8243,0.8855,0.807,0.8842,0.8244,0.8858,0.8075,0.8846,15324,15324,15324,15324,"6365,2208,485,6266","7487,1086,668,6083","6391,2182,776,5975","7365,1208,566,6185"
C2D_AE_128_3X3_AAC,ENUE_NORMAL-{R1}.pkl,AttentionAugmentedConvs,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.7004,0.7468,0.8135,0.6597,0.8437,0.8422,0.8422,0.8496,0.9502,0.9688,0.9693,0.9333,0.3491,0.3005,0.2409,0.3995,0.0965,0.0843,0.0855,0.138,0.4591,0.4231,0.3924,0.4751,0.5682,0.5689,0.5689,0.5677,0.36,0.3569,0.3568,0.3624,0.9041,0.9163,0.8646,0.9166,0.9033,0.9161,0.8588,0.9164,0.9035,0.9162,0.8593,0.9165,15324,15324,15324,15324,"7706,867,615,6136","7885,688,597,6154","7087,1486,677,6074","7876,697,584,6167"
C2D_AE_128_3X3_SQZEX,_Projection_Run}.pkl,SqueezeExcitation,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.7086,0.7627,0.8353,0.6709,0.84,0.8337,0.8335,0.8467,0.9447,0.9656,0.9659,0.9258,0.3441,0.2886,0.2322,0.3976,0.0974,0.0871,0.0896,0.1402,0.4503,0.4084,0.3846,0.4666,0.5685,0.5695,0.5696,0.5679,0.3611,0.3574,0.3574,0.3639,0.9042,0.9132,0.8617,0.9138,0.9039,0.913,0.8598,0.9135,0.904,0.9131,0.8602,0.9136,15324,15324,15324,15324,"7772,801,672,6079","7864,709,624,6127","7301,1272,876,5875","7848,725,600,6151"
BICGRU_AE_128_3X3_L-4_RL-2_DISDECONV-Y,_ENTRANCE_NORMAL.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,False,False,0.7479,0.698,0.6912,0.7582,0.7479,0.698,0.6912,0.7582,0.7479,0.698,0.6912,0.7582,0.3511,0.3546,0.3623,0.344,0.3511,0.3546,0.3623,0.344,0.0164,0.0175,0.0177,0.0162,0.0164,0.0175,0.0177,0.0162,0.0164,0.0175,0.0177,0.0162,0.9703,0.9594,0.96,0.9596,0.4411,0.6865,0.8625,0.6941,0.5839,0.791,0.9044,0.7963,21344,21344,21344,21344,"546,34,11896,8868","359,221,6470,14294","287,293,2641,18123","359,221,6309,14455"
BICLSTM_AE_128_3X3_L-4_RL-2_DISDECONV-Y,_ENTRANCE_NORMAL.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,False,False,0.7698,0.7102,0.7119,0.7643,0.7698,0.7102,0.7119,0.7643,0.7698,0.7102,0.7119,0.7643,0.3334,0.3377,0.3384,0.3365,0.3334,0.3377,0.3384,0.3365,0.0161,0.0172,0.0171,0.0161,0.0161,0.0172,0.0171,0.0161,0.0161,0.0172,0.0171,0.0161,0.9727,0.9606,0.9602,0.9607,0.4301,0.6591,0.8451,0.6639,0.5725,0.7711,0.8941,0.7746,21344,21344,21344,21344,"568,12,12152,8612","386,194,7083,13681","301,279,3027,17737","385,195,6978,13786"
