Model,Model_Path,Variant,Dataset,Image_Type,Resolution,Loss,Optimizer,DeNoising,Attention,auc_roc_score_agg_absolute,auc_roc_score_agg_psnr,auc_roc_score_agg_squared,auc_roc_score_agg_ssim,auc_roc_score_mean_absolute,auc_roc_score_mean_psnr,auc_roc_score_mean_squared,auc_roc_score_mean_ssim,auc_roc_score_overall_absolute,auc_roc_score_overall_psnr,auc_roc_score_overall_squared,auc_roc_score_overall_ssim,eer_agg_absolute,eer_agg_psnr,eer_agg_squared,eer_agg_ssim,eer_overall_absolute,eer_overall_psnr,eer_overall_squared,eer_overall_ssim,pr_roc_score_agg_absolute,pr_roc_score_agg_psnr,pr_roc_score_agg_squared,pr_roc_score_agg_ssim,pr_roc_score_mean_absolute,pr_roc_score_mean_psnr,pr_roc_score_mean_squared,pr_roc_score_mean_ssim,pr_roc_score_overall_absolute,pr_roc_score_overall_psnr,pr_roc_score_overall_squared,pr_roc_score_overall_ssim,precision_absolute_agg,precision_squared_agg,precision_ssim_agg,precision_psnr_agg,recall_absolute_agg,recall_squared_agg,recall_ssim_agg,recall_psnr_agg,f1-score_absolute_agg,f1-score_squared_agg,f1-score_ssim_agg,f1-score_psnr_agg,support_absolute_agg,support_squared_agg,support_ssim_agg,support_psnr_agg,conf_mat_absolute_agg,conf_mat_squared_agg,conf_mat_ssim_agg,conf_mat_psnr_agg,precision_absolute_overall,precision_squared_overall,precision_ssim_overall,precision_psnr_overall,recall_absolute_overall,recall_squared_overall,recall_ssim_overall,recall_psnr_overall,f1-score_absolute_overall,f1-score_squared_overall,f1-score_ssim_overall,f1-score_psnr_overall,support_absolute_overall,support_squared_overall,support_ssim_overall,support_psnr_overall,conf_mat_absolute_overall,conf_mat_squared_overall,conf_mat_ssim_overall,conf_mat_psnr_overall
CRNN_AE_64_3X3_L,CRNN_AE_64_3X3_L-5_RL-1_DISDECONV-N-_ADAM_MSE_MOVINGMNIST_GRAYSCALE_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.5636,0.5663,0.5678,0.5741,0.5465,0.5274,0.556,0.5871,0.5378,0.5325,0.5505,0.5827,0.4508,0.4271,0.4419,0.4441,0.4743,0.4684,0.4688,0.4472,0.8875,0.8793,0.8915,0.9062,0.8853,0.8728,0.8905,0.9065,0.8831,0.8659,0.8889,0.9037,0.8127,0.8208,0.8188,0.8147,0.4405,0.4233,0.43,0.5067,0.516,0.4955,0.5033,0.5836,49980,49980,49980,49980,"4577,1747,26216,17440","4866,1458,27363,16293","4784,1540,26947,16709","4234,2090,22563,21093",0.804,0.8037,0.8128,0.8054,0.8414,0.8396,0.4411,0.8472,0.8194,0.8187,0.5166,0.8217,49980,49980,49980,49980,"863,5461,2468,41188","885,5439,2579,41077","4576,1748,26188,17468","791,5533,2102,41554"
CRNN_AE_64_3X3_L,CRNN_AE_64_3X3_L-5_RL-1_DISDECONV-N-_ADAM_MSE_MOVINGMNIST_GRAYSCALE_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.5417,0.5581,0.5556,0.578,0.5444,0.5338,0.5597,0.6006,0.5374,0.5389,0.5583,0.5962,0.4596,0.4422,0.4487,0.4452,0.4694,0.4571,0.4521,0.432,0.8782,0.8757,0.884,0.9084,0.8817,0.8737,0.8889,0.9084,0.8786,0.8664,0.887,0.9034,0.8125,0.805,0.807,0.809,0.3805,0.4973,0.4842,0.4764,0.4443,0.5739,0.5607,0.5524,49980,49980,49980,49980,"5098,1356,29607,13919","4194,2260,22863,20663","4337,2117,23661,19865","4442,2012,24159,19367",0.8027,0.7964,0.8058,0.7931,0.847,0.5373,0.5357,0.5712,0.8193,0.6122,0.6102,0.6418,49980,49980,49980,49980,"776,5678,1967,41559","3641,2813,20314,23212","3962,2492,20712,22814","3271,3183,18250,25276"
CRNN_AE_64_3X3_L,CRNN_AE_64_3X3_L-5_RL-1_DISDECONV-N-_ADAM_MSE_MOVINGMNIST_GRAYSCALE_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.5379,0.5272,0.5258,0.4326,0.5398,0.5257,0.5259,0.4782,0.5125,0.4978,0.498,0.5007,0.478,0.4863,0.4876,0.5462,0.5089,0.5201,0.5201,0.4899,0.8987,0.894,0.8937,0.8451,0.8861,0.8812,0.8813,0.8596,0.8767,0.8732,0.8733,0.8532,0.8208,0.8211,0.7821,0.8227,0.3629,0.363,0.8352,0.3561,0.4219,0.4221,0.805,0.4128,49980,49980,49980,49980,"5248,1129,30714,12889","5253,1124,30711,12892","414,5963,2273,41330","5316,1061,31120,12483",0.8052,0.8057,0.7843,0.8057,0.8422,0.8435,0.6007,0.8433,0.8202,0.8208,0.666,0.8208,49980,49980,49980,49980,"916,5461,2427,41176","904,5473,2347,41256","2596,3781,16178,27425","909,5468,2363,41240"
C2D_AE_128_3X3,_3X3-_ADAM_MSE_HAM10000_NORMAL-{APE}.pkl,Normal,HAM10000,NORMAL,128,MSE,ADAM,False,False,0.686,0.7126,0.6832,0.6777,0.7024,0.7075,0.7075,0.6743,0.7343,0.7371,0.7371,0.7033,0.355,0.3359,0.3611,0.3542,0.3188,0.32,0.32,0.335,0.6187,0.6026,0.6148,0.6249,0.7078,0.7126,0.7126,0.7035,0.5994,0.5939,0.5939,0.6142,0.7203,0.7193,0.7184,0.7414,0.6885,0.6807,0.6647,0.735,0.7001,0.694,0.6812,0.7379,4498,4498,4498,4498,"2413,885,516,684","2362,936,500,700","2254,1044,464,736","2658,640,552,648",0.7589,0.7631,0.7395,0.7631,0.6512,0.7697,0.6847,0.7697,0.6713,0.7658,0.7005,0.7658,4498,4498,4498,4498,"1993,1305,264,936","2838,460,576,624","2288,1010,408,792","2838,460,576,624"
C2D_AE_128_3X3,06_C1_ADAM_MSE_HAM10000_NORMAL-{APE}.pkl,Normal,HAM10000,NORMAL,128,MSE,ADAM,False,True,0.6851,0.7142,0.6842,0.6753,0.7039,0.7107,0.7107,0.6721,0.7342,0.7391,0.7391,0.7011,0.3526,0.3344,0.3581,0.355,0.3132,0.32,0.3174,0.335,0.619,0.6013,0.6139,0.6259,0.7113,0.7155,0.7155,0.7029,0.5992,0.5925,0.5925,0.6148,0.7212,0.7214,0.7172,0.7419,0.6581,0.7021,0.6572,0.7328,0.676,0.7099,0.6748,0.7368,4498,4498,4498,4498,"2195,1103,435,765","2510,788,552,648","2208,1090,452,748","2635,663,539,661",0.7593,0.7521,0.7367,0.7521,0.6523,0.7359,0.6961,0.7359,0.6723,0.7423,0.7093,0.7423,4498,4498,4498,4498,"1998,1300,264,936","2596,702,486,714","2381,917,450,750","2596,702,486,714"
C2D_AE_128_3X3,06_C3_ADAM_MSE_HAM10000_NORMAL-{APE}.pkl,Normal,HAM10000,NORMAL,128,MSE,ADAM,False,True,0.691,0.7162,0.6855,0.6756,0.7082,0.7119,0.7119,0.6733,0.7379,0.7394,0.7394,0.7026,0.3508,0.3346,0.3605,0.3542,0.3179,0.3208,0.3208,0.3311,0.6143,0.6,0.6129,0.6256,0.7133,0.7171,0.7171,0.7033,0.5965,0.5924,0.5924,0.6144,0.7258,0.7216,0.7179,0.7425,0.705,0.6888,0.6592,0.7297,0.7132,0.7005,0.6766,0.735,4498,4498,4498,4498,"2507,791,536,664","2408,890,510,690","2218,1080,453,747","2605,693,523,677",0.7607,0.7545,0.7386,0.7545,0.6598,0.7277,0.7041,0.7277,0.6795,0.7371,0.7158,0.7371,4498,4498,4498,4498,"2038,1260,270,930","2517,781,444,756","2429,869,462,738","2517,781,444,756"
C2D_AE_128_3X3,64_C1_ADAM_MSE_HAM10000_NORMAL-{APE}.pkl,Normal,HAM10000,NORMAL,128,MSE,ADAM,False,True,0.5714,0.5824,0.532,0.6644,0.5709,0.5793,0.5793,0.6556,0.6,0.6066,0.6066,0.704,0.4333,0.4292,0.4718,0.3617,0.425,0.43,0.4245,0.3246,0.6861,0.6797,0.71,0.6335,0.6862,0.6842,0.6842,0.687,0.6785,0.6758,0.6758,0.6181,0.6612,0.631,0.7147,0.6623,0.5658,0.5293,0.6781,0.6185,0.5908,0.5565,0.691,0.6347,4498,4498,4498,4498,"1856,1442,511,689","1748,1550,567,633","2367,931,517,683","2213,1085,631,569",0.6764,0.6741,0.7439,0.6741,0.6203,0.6132,0.7012,0.6132,0.6389,0.6329,0.7146,0.6329,4498,4498,4498,4498,"2154,1144,564,636","2116,1182,558,642","2380,918,426,774","2116,1182,558,642"
C2D_AE_128_3X3,64_C3_ADAM_MSE_HAM10000_NORMAL-{APE}.pkl,Normal,HAM10000,NORMAL,128,MSE,ADAM,False,True,0.7015,0.7367,0.6741,0.6912,0.7531,0.768,0.768,0.6869,0.764,0.7722,0.7722,0.7173,0.3445,0.3112,0.3723,0.3411,0.28,0.2784,0.2792,0.3293,0.6148,0.5952,0.6231,0.6165,0.7386,0.7502,0.7502,0.705,0.594,0.5856,0.5856,0.6063,0.733,0.7195,0.727,0.756,0.6956,0.7123,0.6663,0.7281,0.7082,0.7156,0.6836,0.7378,4498,4498,4498,4498,"2397,901,468,732","2605,693,601,599","2223,1075,426,774","2512,786,437,763",0.7774,0.7812,0.7476,0.7812,0.735,0.755,0.7228,0.755,0.7471,0.7637,0.7318,0.7637,4498,4498,4498,4498,"2448,850,342,858","2574,724,378,822","2519,779,468,732","2574,724,378,822"
C2D_AE_128_3X3_AAC,_AAC-_ADAM_MSE_HAM10000_NORMAL-{APE}.pkl,AttentionAugmentedConvs,HAM10000,NORMAL,128,MSE,ADAM,False,False,0.6878,0.7109,0.6801,0.6748,0.7029,0.7087,0.7087,0.6716,0.7321,0.7362,0.7362,0.7006,0.3519,0.3382,0.3629,0.3529,0.3169,0.3202,0.3202,0.3293,0.6162,0.6025,0.6154,0.6256,0.7124,0.7161,0.7161,0.7033,0.5998,0.5935,0.5935,0.6147,0.726,0.7197,0.719,0.7411,0.7094,0.6981,0.6496,0.7328,0.7163,0.7066,0.6686,0.7365,4498,4498,4498,4498,"2541,757,550,650","2489,809,549,651","2149,1149,427,773","2640,658,544,656",0.7537,0.7528,0.7363,0.7528,0.737,0.737,0.693,0.737,0.7436,0.7433,0.7067,0.7433,4498,4498,4498,4498,"2595,703,480,720","2601,697,486,714","2361,937,444,756","2601,697,486,714"
C2D_AE_128_3X3_SQZEX,QZEX-_ADAM_MSE_HAM10000_NORMAL-{APE}.pkl,SqueezeExcitation,HAM10000,NORMAL,128,MSE,ADAM,False,False,0.6936,0.7173,0.6873,0.6785,0.7093,0.7136,0.7136,0.6738,0.7395,0.7416,0.7416,0.7036,0.3474,0.3367,0.3553,0.3542,0.32,0.3172,0.3189,0.3305,0.6126,0.5992,0.6117,0.6237,0.7122,0.7169,0.7169,0.7029,0.5951,0.5911,0.5911,0.6131,0.7253,0.7236,0.721,0.7451,0.6919,0.7034,0.6607,0.7377,0.7037,0.7115,0.6782,0.741,4498,4498,4498,4498,"2411,887,499,701","2508,790,544,656","2214,1084,442,758","2656,642,538,662",0.7538,0.7545,0.7399,0.7545,0.7203,0.7399,0.7045,0.7399,0.7314,0.7458,0.7164,0.7458,4498,4498,4498,4498,"2466,832,426,774","2614,684,486,714","2425,873,456,744","2614,684,486,714"
