Model,Model_Path,Variant,Dataset,Image_Type,Resolution,Loss,Optimizer,DeNoising,Attention,auc_roc_score_agg_absolute,auc_roc_score_agg_psnr,auc_roc_score_agg_squared,auc_roc_score_agg_ssim,auc_roc_score_mean_absolute,auc_roc_score_mean_psnr,auc_roc_score_mean_squared,auc_roc_score_mean_ssim,auc_roc_score_overall_absolute,auc_roc_score_overall_psnr,auc_roc_score_overall_squared,auc_roc_score_overall_ssim,eer_agg_absolute,eer_agg_psnr,eer_agg_squared,eer_agg_ssim,eer_overall_absolute,eer_overall_psnr,eer_overall_squared,eer_overall_ssim,pr_roc_score_agg_absolute,pr_roc_score_agg_psnr,pr_roc_score_agg_squared,pr_roc_score_agg_ssim,pr_roc_score_mean_absolute,pr_roc_score_mean_psnr,pr_roc_score_mean_squared,pr_roc_score_mean_ssim,pr_roc_score_overall_absolute,pr_roc_score_overall_psnr,pr_roc_score_overall_squared,pr_roc_score_overall_ssim,precision_absolute,precision_squared,precision_ssim,precision_psnr,recall_absolute,recall_squared,recall_ssim,recall_psnr,f1-score_absolute,f1-score_squared,f1-score_ssim,f1-score_psnr,support_absolute,support_squared,support_ssim,support_psnr,conf_mat_absolute,conf_mat_squared,conf_mat_ssim,conf_mat_psnr
CGRU_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N,/localscratch/a24ravi.60846435.0/CLSTM_31_01_2021_19_25/CGRU_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N|_ADAM_MSE_SUBWAY_EXIT_NORMAL/CGRU_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N|_ADAM_MSE_SUBWAY_EXIT_NORMAL.pkl,Normal,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,False,0.9779,0.9772,0.9765,0.9784,0.9779,0.9772,0.9765,0.9784,0.9779,0.9772,0.9765,0.9784,0.0794,0.0835,0.0864,0.0699,0.0794,0.0835,0.0864,0.0699,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9992,0.9992,0.9992,0.9992,0.9206,0.9137,0.9301,0.9165,0.9579,0.9541,0.963,0.9557,11467,11467,11467,11467,"9,0,910,10548","9,0,990,10468","9,0,801,10657","9,0,957,10501"
CLSTM_AE_128_3X3_L-4_RL-2_DISDECONV-Y,/localscratch/a24ravi.60728290.0/CLSTM_29_01_2021_16_33/CLSTM_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_SUBWAY_EXIT_NORMAL/CLSTM_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_SUBWAY_EXIT_NORMAL.pkl,Normal,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,False,0.9731,0.9594,0.9599,0.9731,0.9731,0.9594,0.9599,0.9731,0.9731,0.9594,0.9599,0.9731,0.1111,0.1111,0.1111,0.1107,0.1111,0.1111,0.1111,0.1107,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9992,0.9991,0.9992,0.9991,0.8869,0.9428,0.8923,0.9407,0.9393,0.9698,0.9423,0.9687,11475,11475,11475,11475,"9,0,1298,10168","8,1,655,10811","9,0,1236,10230","8,1,679,10787"
CLSTM_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N,/localscratch/a24ravi.60846435.0/CLSTM_31_01_2021_19_25/CLSTM_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N|_ADAM_MSE_SUBWAY_EXIT_NORMAL/CLSTM_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N|_ADAM_MSE_SUBWAY_EXIT_NORMAL.pkl,Normal,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,False,0.9781,0.9785,0.9779,0.9785,0.9781,0.9785,0.9779,0.9785,0.9781,0.9785,0.9779,0.9785,0.0782,0.0528,0.0734,0.0755,0.0782,0.0528,0.0734,0.0755,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9992,0.9992,0.9992,0.9992,0.9219,0.9267,0.9246,0.9308,0.9586,0.9612,0.96,0.9634,11467,11467,11467,11467,"9,0,896,10562","9,0,841,10617","9,0,865,10593","9,0,793,10665"
CRNN_AE_128_3X3_L-4_RL-2_DISDECONV-Y,/localscratch/a24ravi.60728290.0/CLSTM_29_01_2021_16_33/CRNN_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_SUBWAY_EXIT_NORMAL/CRNN_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_SUBWAY_EXIT_NORMAL.pkl,Normal,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,False,0.965,0.9553,0.9554,0.9683,0.965,0.9553,0.9554,0.9683,0.965,0.9553,0.9554,0.9683,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9991,0.9991,0.9991,0.9991,0.9534,0.9503,0.959,0.9508,0.9754,0.9738,0.9783,0.974,11475,11475,11475,11475,"8,1,534,10932","8,1,569,10897","8,1,470,10996","8,1,564,10902"
CRNN_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N,/localscratch/a24ravi.60846435.0/CLSTM_31_01_2021_19_25/CRNN_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N|_ADAM_MSE_SUBWAY_EXIT_NORMAL/CRNN_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N|_ADAM_MSE_SUBWAY_EXIT_NORMAL.pkl,Normal,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,False,0.9866,0.9863,0.9858,0.9827,0.9866,0.9863,0.9858,0.9827,0.9866,0.9863,0.9858,0.9827,0.0321,0.0327,0.0342,0.0454,0.0321,0.0327,0.0342,0.0454,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9992,0.9992,0.9992,0.9992,0.9679,0.9658,0.9547,0.9673,0.9829,0.9819,0.976,0.9826,11467,11467,11467,11467,"9,0,368,11090","9,0,392,11066","9,0,520,10938","9,0,375,11083"
C2D,/localscratch/a24ravi.60478098.0/C2D_25_01_2021_18_54/UCSD1_AE_ADAM_MSE_UCSD1_NORMAL/UCSD1_AE_ADAM_MSE_UCSD1_NORMAL.pkl,Normal,UCSD1,NORMAL,0,MSE,ADAM,False,False,0.6646,0.6098,0.6206,0.6625,0.7143,0.6697,0.6702,0.7044,0.6396,0.6247,0.6241,0.6391,0.3826,0.399,0.4054,0.3819,0.4092,0.4161,0.4162,0.4057,0.4549,0.4774,0.466,0.4534,0.5228,0.5281,0.5286,0.5109,0.4602,0.4664,0.4669,0.4609,0.6281,0.6272,0.6167,0.6266,0.6319,0.6256,0.6183,0.6256,0.6208,0.5993,0.6173,0.6003,7200,7200,7200,7200,"3146,899,1751,1404","3404,641,2055,1100","2738,1307,1441,1714","3389,656,2040,1115"
CGRU_AE_128_3X3_L-4_RL-2_DISDECONV-Y,/localscratch/a24ravi.60723470.0/CLSTM_29_01_2021_14_25/CGRU_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_UCSD1_NORMAL/CGRU_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_UCSD1_NORMAL.pkl,Normal,UCSD1,NORMAL,128,MSE,ADAM,False,False,0.4573,0.5277,0.4494,0.6296,0.4619,0.5736,0.4671,0.6217,0.4636,0.5779,0.4683,0.6314,0.5169,0.4758,0.5331,0.4171,0.5241,0.4436,0.5239,0.4015,0.5894,0.5268,0.5933,0.4648,0.6133,0.5444,0.612,0.5314,0.5824,0.5014,0.5813,0.4695,0.5856,0.6007,0.6192,0.5822,0.5653,0.5647,0.6238,0.5893,0.4221,0.4167,0.6117,0.5805,7200,7200,7200,7200,"4002,43,3087,68","4020,25,3109,46","3131,914,1795,1360","2905,1140,1817,1338"
CGRU_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N,/localscratch/a24ravi.60892900.0/CLSTM_01_02_2021_21_40/CGRU_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N|_ADAM_MSE_UCSD1_NORMAL/CGRU_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N|_ADAM_MSE_UCSD1_NORMAL.pkl,Normal,UCSD1,NORMAL,128,MSE,ADAM,False,False,0.6931,0.7474,0.7327,0.7025,0.7021,0.7559,0.7396,0.7061,0.6344,0.664,0.6567,0.6548,0.3627,0.3027,0.3226,0.3489,0.4063,0.3921,0.3987,0.3985,0.4447,0.4281,0.4334,0.4427,0.5026,0.4865,0.4909,0.497,0.4749,0.456,0.461,0.462,0.6204,0.6434,0.6402,0.6422,0.6262,0.6451,0.6438,0.6448,0.619,0.6271,0.6297,0.6286,6912,6912,6912,6912,"2930,1010,1574,1398","3253,687,1766,1206","3172,768,1694,1278","3219,721,1734,1238"
CLSTM_AE_128_3X3_L-4_RL-2_DISDECONV-Y,/localscratch/a24ravi.60723470.0/CLSTM_29_01_2021_14_25/CLSTM_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_UCSD1_NORMAL/CLSTM_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_UCSD1_NORMAL.pkl,Normal,UCSD1,NORMAL,128,MSE,ADAM,False,False,0.6326,0.6693,0.6667,0.619,0.6624,0.7032,0.6785,0.6376,0.6284,0.6494,0.6419,0.6402,0.3896,0.3664,0.3786,0.405,0.4141,0.4015,0.4038,0.4067,0.4761,0.4577,0.4555,0.4799,0.5054,0.5047,0.5055,0.5137,0.47,0.4568,0.4633,0.4674,0.6006,0.6045,0.6177,0.6103,0.6038,0.6003,0.6224,0.6121,0.6013,0.6016,0.61,0.611,7200,7200,7200,7200,"2751,1294,1559,1596","2474,1571,1307,1848","3132,913,1806,1349","2720,1325,1468,1687"
CLSTM_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N,/localscratch/a24ravi.60892900.0/CLSTM_01_02_2021_21_40/CLSTM_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N|_ADAM_MSE_UCSD1_NORMAL/CLSTM_AE_128_3X3_SEQ2SEQ_L-4_RL-1_DISDECONV-N|_ADAM_MSE_UCSD1_NORMAL.pkl,Normal,UCSD1,NORMAL,128,MSE,ADAM,False,False,0.6526,0.7264,0.7051,0.705,0.673,0.7309,0.7148,0.7111,0.6178,0.6515,0.6441,0.6478,0.3917,0.3225,0.3415,0.3398,0.4122,0.3973,0.3999,0.4066,0.466,0.4343,0.4415,0.4423,0.5143,0.5019,0.5037,0.4954,0.4882,0.4632,0.4701,0.4655,0.6073,0.6229,0.6275,0.6142,0.6118,0.6288,0.633,0.6115,0.6081,0.6159,0.6204,0.6126,6912,6912,6912,6912,"2769,1171,1512,1460","3082,858,1708,1264","3093,847,1690,1282","2522,1418,1267,1705"
